n,mean_var_est,sd_var_est,q05_var,q95_var,mean_score_est,sd_score_est,theologian,domain,analysis_type
335,0.17009941263741168,0.005751928504450546,0.1589839932076143,0.17793937796049736,6.911785074626866,0.006596665869290998,rutledge,aristoteles,sequential
340,0.1698367166406386,0.004961881751769503,0.16005357886517363,0.17617421481867068,6.911849411764706,0.0060485843651029575,rutledge,aristoteles,sequential
345,0.16993548095719585,0.004870321387303653,0.16005426356589197,0.1758336113919788,6.911703768115942,0.005452719307792611,rutledge,aristoteles,sequential
350,0.16969124453540732,0.004063895371546269,0.1618772820302911,0.17450753581661815,6.911899428571429,0.004564302490485614,rutledge,aristoteles,sequential
355,0.16985012493037296,0.003189903863538763,0.16400449590196542,0.17367539587809258,6.911674366197183,0.003783841394790176,rutledge,aristoteles,sequential
360,0.16952558031569157,0.0025866589038509406,0.16374614283503608,0.1724110182606009,6.911898888888889,0.0028831750269413064,rutledge,aristoteles,sequential
365,0.16987466807165483,8.591720495194235e-4,0.16798329068192125,0.1702518440463653,6.911767671232877,0.0010430653819084499,rutledge,aristoteles,sequential
366,0.16980679691593728,4.2844087044661363e-17,0.16980679691593722,0.16980679691593736,6.911748633879782,1.4335789656926412e-16,rutledge,aristoteles,sequential
5,0.32859375,0.3140298615130516,0.0515625,0.8100781249999993,5.37585,0.23889258430028232,rutledge,dekker,sequential
10,0.33198125,0.21417877640089292,0.10913194444444443,0.8422916666666662,5.375,0.17958319868657252,rutledge,dekker,sequential
15,0.32791845238095235,0.172580373830673,0.13645833333333338,0.6984895833333328,5.385566666666667,0.14609806966070368,rutledge,dekker,sequential
20,0.33692113486842107,0.15705407488031245,0.15667146381578947,0.6587808388157894,5.3798875,0.1244958640239431,rutledge,dekker,sequential
25,0.33030302083333335,0.1347270090680865,0.17533854166666663,0.5814817708333331,5.37751,0.1078996504588327,rutledge,dekker,sequential
30,0.33071185344827586,0.12186400864294253,0.17104166666666668,0.5479202586206894,5.377033333333333,0.10191588484655872,rutledge,dekker,sequential
35,0.3336297268907563,0.1167625208421373,0.18631565126050417,0.5771691176470587,5.3798571428571424,0.08699027581033913,rutledge,dekker,sequential
40,0.3304869391025641,0.10051933307058449,0.1938000801282052,0.51373046875,5.3767875,0.0859556773907425,rutledge,dekker,sequential
45,0.33197323232323234,0.1004284584387125,0.19672506313131305,0.5079016729797977,5.376883333333334,0.08094258162626518,rutledge,dekker,sequential
50,0.33381557397959183,0.09472943101746618,0.20129719387755104,0.5071058673469387,5.376055,0.07546780939918037,rutledge,dekker,sequential
55,0.33330490319865325,0.08747222475390655,0.19947337962962963,0.4899479166666669,5.378695454545454,0.07360506699256907,rutledge,dekker,sequential
60,0.3317192443502825,0.08260119084664377,0.21909847281073427,0.4869853460451977,5.3802916666666665,0.06709597647820302,rutledge,dekker,sequential
65,0.3301600360576923,0.07691381141788876,0.21973407451923088,0.47132850060096143,5.381688461538461,0.06371164925560006,rutledge,dekker,sequential
70,0.3416984601449275,0.07489935074461751,0.2289240424430642,0.47392193969979296,5.3747,0.05943718642136372,rutledge,dekker,sequential
75,0.33506520270270274,0.07201317832928456,0.23017004504504499,0.4542384572072072,5.379646666666667,0.059654778020178975,rutledge,dekker,sequential
80,0.3229000098892405,0.06616572614249927,0.22445670984968352,0.44259839794303796,5.38275625,0.06044584949982925,rutledge,dekker,sequential
85,0.33350220588235296,0.06612797703160406,0.2325015318627451,0.4380400910364144,5.378891176470589,0.05530172393639473,rutledge,dekker,sequential
90,0.3305282693508115,0.06462302062872001,0.23326935081148545,0.44431833255305864,5.3852,0.052822835247649184,rutledge,dekker,sequential
95,0.3274044302911534,0.06418509211136793,0.23278660414333707,0.43291625839865616,5.3817315789473685,0.051014515916988475,rutledge,dekker,sequential
100,0.3303658301767677,0.05736663547946061,0.24330026830808066,0.4276341540404038,5.3783475,0.05230230330120483,rutledge,dekker,sequential
105,0.33017410141941395,0.05534705876678921,0.24157895489926734,0.43062356913919386,5.381209523809524,0.047797899644164046,rutledge,dekker,sequential
110,0.32826391002919103,0.05531992581690213,0.24642534143035855,0.42901082933694723,5.381547727272728,0.046314976293399056,rutledge,dekker,sequential
115,0.32746562261632345,0.05274794257427653,0.24775993993135065,0.42511346300533936,5.380428260869565,0.045490097360195506,rutledge,dekker,sequential
120,0.3248975555847339,0.05256212296470141,0.2441619069502802,0.41862679446778706,5.38141875,0.04364729028023777,rutledge,dekker,sequential
125,0.329685560483871,0.0514091853218071,0.24806088709677418,0.41729637096774164,5.383126,0.04373176257728735,rutledge,dekker,sequential
130,0.33200507416517594,0.04939826889885745,0.25448662045319026,0.4152821258199163,5.377182692307692,0.042639369119459314,rutledge,dekker,sequential
135,0.328228527501382,0.04752648591626435,0.25087418808734113,0.40583212410171365,5.3813611111111115,0.03733082631546342,rutledge,dekker,sequential
140,0.33082738791109967,0.04700508044694543,0.2540851426002056,0.40784847122302126,5.379694642857143,0.03701567440014425,rutledge,dekker,sequential
145,0.3288099437260536,0.046098081634574566,0.2579849137931035,0.40439056513409954,5.380431034482759,0.03570335978240623,rutledge,dekker,sequential
150,0.3265010766219239,0.04273592693758727,0.25423745106264006,0.3933737066554811,5.381696666666667,0.03613095768614148,rutledge,dekker,sequential
155,0.32997608137829915,0.03926215529217864,0.2650433991411814,0.3969296580435694,5.3811709677419355,0.0350032955696388,rutledge,dekker,sequential
160,0.3260544467374214,0.04183347136262181,0.2582985701650944,0.3947879508156444,5.38129375,0.033627511202054344,rutledge,dekker,sequential
165,0.3285905672579454,0.04044530225692292,0.2622659714523281,0.3970104051182558,5.380531818181818,0.032918554310594005,rutledge,dekker,sequential
170,0.3298597578750435,0.038053598390982664,0.27166496258266615,0.394396971806474,5.380566176470588,0.031726766808566405,rutledge,dekker,sequential
175,0.32978108579638754,0.03742729524204147,0.26946618431855457,0.39450143678160904,5.379351428571429,0.029606635556971267,rutledge,dekker,sequential
180,0.3267580569134078,0.03934240330438688,0.26324885552451893,0.3909568251474243,5.3797041666666665,0.03165275943383487,rutledge,dekker,sequential
185,0.3273506407902468,0.03610011129912059,0.26680077665981194,0.3860228315951822,5.381028378378378,0.030790572228843786,rutledge,dekker,sequential
190,0.3268966235032025,0.03391420797176256,0.26985756491924257,0.38233074004455536,5.3828157894736846,0.028751048235414724,rutledge,dekker,sequential
195,0.32759712364525506,0.03456251314528915,0.27077224590272275,0.38263018768173396,5.381494871794872,0.028945928879311057,rutledge,dekker,sequential
200,0.3309489682788945,0.033828864189528116,0.27340515075376876,0.38249552449748764,5.37934,0.028258415358564493,rutledge,dekker,sequential
205,0.3283077833572454,0.03294295493387064,0.2737661032400778,0.3796857813247251,5.380951219512195,0.028238197586046673,rutledge,dekker,sequential
210,0.32772808797562086,0.030741109039128137,0.27590246924128486,0.37600919913419933,5.380429761904762,0.026096716935455722,rutledge,dekker,sequential
215,0.33193765621604,0.029896828036753,0.281773527494023,0.37922751168224283,5.379808139534884,0.02470546124012217,rutledge,dekker,sequential
220,0.3270040713210876,0.03313601059254454,0.2703111541355336,0.380772947799917,5.381205681818182,0.02528912100107914,rutledge,dekker,sequential
225,0.33047198164682545,0.028806592282382318,0.2798038504464285,0.3752118985615077,5.380467777777778,0.023376296689987502,rutledge,dekker,sequential
230,0.3290073381431555,0.026855426009247306,0.28278937547465355,0.37295204812986515,5.3813891304347825,0.022696504082496446,rutledge,dekker,sequential
